speech_id,president,speech_title,src_file
Trump_2016_09_12_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Baltimore, Maryland (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-09-12-B.txt
Trump_2016_09_13_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Des Moines, Iowa (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-09-13-A.txt
Trump_2016_09_13_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Asheville, North Carolina (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-09-13-B.txt
Trump_2016_09_13,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Des Moines, Iowa (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-09-13.txt
Trump_2016_09_16,trump,"Donald Trump, GOP Presidential Candidate, Remarks at Campaign Event in Miami, Florida",./Total_Corpus of Presidential Speeches/Trump_2016-09-16.txt
Trump_2016_09_17,trump,"Remarks at Campaign Event in Houston, TX",./Total_Corpus of Presidential Speeches/Trump_2016-09-17.txt
Trump_2016_09_29,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Bedford, New Hampshire",./Total_Corpus of Presidential Speeches/Trump_2016-09-29.txt
Trump_2016_09_30,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Novi, Michigan (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-09-30.txt
Trump_2016_10_03_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at Retired American Warriors PAC",./Total_Corpus of Presidential Speeches/Trump_2016-10-03-A.txt
Trump_2016_10_03_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event, Pueblo, Colorado",./Total_Corpus of Presidential Speeches/Trump_2016-10-03-B.txt
Trump_2016_10_05,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Henderson, Nevada (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-05.txt
Trump_2016_10_06,trump,"Donald Trump, Republican presidential candidate, holds a townhall meeting, Sandown, New Hampshire",./Total_Corpus of Presidential Speeches/Trump_2016-10-06.txt
Trump_2016_10_10_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Ambridge, Pennsylvania (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-10-A.txt
Trump_2016_10_10_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Wilkes - Barre, Pennsylvania (24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-10-B.txt
Trump_2016_10_11,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Panama City, Florida (24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-11.txt
Trump_2016_10_12,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Lakeland, Florida (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-12.txt
Trump_2016_10_13,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in West Palm Beach, Florida (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-13.txt
Trump_2016_10_14_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Greensboro, North Carolina (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-14-A.txt
Trump_2016_10_14_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Charlotte, North Carolina (24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-14-B.txt
Trump_2016_10_17,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Green Bay, Wisconsin (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-17.txt
Trump_2016_10_18,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Grand Junction, Colorado (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-18.txt
Trump_2016_10_21_A,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Newtown, Pennsylvania (24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-21-A.txt
Trump_2016_10_21_B,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Fletcher, North Carolina (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-21-B.txt
Trump_2016_10_21_C,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Johnstown, Pennsylvania (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-21-C.txt
Trump_2016_10_27,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Springfield, Ohio (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-27.txt
Trump_2016_10_28,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Manchester, New Hampshire (SD/24)",./Total_Corpus of Presidential Speeches/Trump_2016-10-28.txt
Trump_2016_10_31,trump,"Donald Trump, Republican Presidential Candidate, delivers remarks at a campaign event in Grand Rapids, Michigan",./Total_Corpus of Presidential Speeches/Trump_2016-10-31.txt
Trump_2016_11_01_A,trump,"Donald Trump, Republican presidential candidate, delivers remarks at a campaign event, Eau Claire, Wisconsin",./Total_Corpus of Presidential Speeches/Trump_2016-11-01-A.txt
